File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Kirundi_Length
,Inzu ni nini,La maison est grande.,The house is big.,general,,,,,,,12.0
,Inzu ni nziza ubu.,La maison est propre maintenant.,The house is clean now.,general,,,,,,,18.0
,Inzu ntísēnyéra iyĭndi.,"Chaque foyer devrait être autonome, sans dépendre de l'aide des autres.","Every household should be self-reliant, not relying on assistance from others.",proverbs,,,,,,,23.0
,Inzu ntíyīnjíra mu yĭndi.,Une maison ne peut être nichée dans une autre.,One house cannot be nested within anothe.,proverbs,,,,,,,25.0
,Inzérerezi ntíhāmbá sé.,"Les ignorants sont absents quand cela compte le plus, même à l'enterrement de leur père.","The ignorant are absent when it matters most, even at their father's burial.",proverbs,,,,,,,23.0
,Inzóka ntíyīgórōra iba igîye.,"Le serpent blessé ne peut pas se guérir lui-même, il rencontrera sa fin.","The wounded snake cannot heal itself, it will meet its end.",proverbs,,,,,,,29.0
,Inzόga y'í bwămi mu kuyisoma urasûngarara.,Le palais du roi détient une abondance inépuisable.,The king's palace holds inexhaustible abundance.,proverbs,,,,,,,42.0
,Inánkūndakuryá yarîye ubûki bw'îfûnděri.,Un cœur avide a conduit quelqu'un à une erreur coûteuse.,A greedy heart led one to a costly mistake.,proverbs,,,,,,,40.0
,Inánzōbirya mvyîkoreye yapfûye atîkóra inyuma.,"Compter uniquement sur soi-même peut sembler fort, mais les répercussions d'une trop grande pression peuvent devenir un compagnon indésirable.","Relying solely on oneself may seem strong, but the repercussions of pushing too hard can emerge as an unwelcome companion.",proverbs,,,,,,,46.0
,Inēra ibegerwa ku bwăyo igakūra ubwătsi.,"Ceux qui manquent de connaissance se contentent d'une bouchée, passant à côté du somptueux banquet qui leur est destiné.","Those lacking knowledge content themselves with a bite, missing out on the sumptuous banquet meant for them.",proverbs,,,,,,,40.0
,Irakeregeza ikaba inkěcuru.,La colère rapide détient rarement le pouvoir.,Rapid anger rarely holds power.,proverbs,,,,,,,27.0
,"Iri dûga ry'íbicîro naryó ntirizôdusíga amahóro
- Umwâna : Hèé dàá, nābônye ikirāto cīzá
- Sé wîwé: Nōné warùúzi ngw’íbirāto vyīzá vyàárahéze ??","Cette inflation va nous tuer.
- Un enfant : ""Papa, j'ai vu une nouvelle belle paire de chaussures.""
- Son père : ""Alors, tu pensais qu'il n'y avait plus de belles chaussures ?""","This inflation is going to kill us.
- A child: ""Dad, I saw a new beautiful pair of shoes.""
- His dad: ""So, were you thinking that there were no more beautiful shoes left on earth?""",jokes,,,,,,,144.0
,Iri ni ibuye.,Ceci est un pierre.,This is a stone.,vocabulary,,,,,,,13.0
,Iri ni icumu.,Ceci est un lance.,This is a spear.,vocabulary,,,,,,,13.0
,Iri ni ijoro.,Ceci est un nuit.,This is a night.,vocabulary,,,,,,,13.0
,Iri ni ipera.,Ceci est un goyave.,This is a guave.,vocabulary,,,,,,,13.0
,Iri ni ivoka.,Ceci est un avocat.,This is a avocado.,vocabulary,,,,,,,13.0
,Iri ni izosi.,Ceci est un cou.,This is a neck.,vocabulary,,,,,,,13.0
,Iríba riba kare.,Ce qui doit arriver arrivera tôt.,What is meant to be will come early.,proverbs,,,,,,,16.0
,Isabukuru nziza,Joyeux anniversaire!,Happy birthday!,general,,,,,,,15.0
,"Ishavú mfitíye abatwâra amatagisi, baguma bádūza ibicîro , ubu ndayûrira ku maherá ashāká, nkāmbara umusipí, nkahēngēra nawé yâkije, nkaca ndáwukūra, nkamubwīra nti: "" Ndabíhevye, ndagīye n’ámaguru.""","Je suis vraiment agacé par les chauffeurs de taxi ; ils augmentent les prix à leur guise. Maintenant, j'ai trouvé une solution. J'accepte le tarif qu'ils demandent, je monte dans le taxi, je boucle ma ceinture, et dès que la voiture commence à rouler, je déboucle rapidement ma ceinture, annonçant que j'ai changé d'avis et que je préfère marcher","I am really frustrated with the taxi drivers; they raise prices as they please. Now, I've found a solution. I agree with the fare they quote, get into the taxi, fasten my seatbelt, and as soon as the car starts moving, I promptly unfasten the seatbelt, announcing that I've changed my mind and have decided to walk.",jokes,,,,,,,199.0
,Ishirásoní sí iyiróga ní iyírya abăndi bábona.,La personne avide mange seule à l'ombre de son égoïsme.,The greedy person eats alone in the shadow of their selfishness.,proverbs,,,,,,,46.0
,Ishávu ry'úmuvyêyi rirîrirwa ntírirārá.,La colère d'un parent est comme un nuage passager.,A parent's anger is like a passing cloud.,proverbs,,,,,,,39.0
,Ishíga rimwé ntíryāríka.,Un seul pilier ne peut pas supporter le poids du toit.,One pillar alone cannot support the weight of the roof.,proverbs,,,,,,,24.0
,Ishûrwé rirêra kăndi rírura.,"Les apparences peuvent être trompeuses, comme avec une fleur amère.","Appearances can be deceiving, as with a bitter flower.",proverbs,,,,,,,28.0
,Ishāmba ryăbāye indahiro ntíribá indagiro.,"Dans la forêt de la peur, le troupeau ne peut trouver de pâturage.","In the forest of fear, the herd cannot find pasture.",proverbs,,,,,,,42.0
,Isáka rimwé ntíryūzúra ikigega.,Un petit repas laisse un homme affamé.,A small meal leaves one hungry.,proverbs,,,,,,,31.0
,Isáka rirakúra ntírisūmbá umugéshi.,"Le sorgho peut grandir, mais il ne peut échapper aux mains du moissonneur.","Sorghum can grow tall, yet it cannot escape the hands of the harvester.",proverbs,,,,,,,35.0
,Isári ntírēngá intŏre.,"Un cœur noble est toujours bien nourri, nourri par les soins des autres.","A noble heart is always well-fed, nourished by the care of others.",proverbs,,,,,,,22.0
,Isáse riva ku cûma.,"Tel père, tel fils.","Like father, like son.",proverbs,,,,,,,19.0
,Iséma isema básemerera.,"Souvent, ceux qui attirent des ennuis sur eux-mêmes et les autres, ignorent les conseils des prudents.","Often, those who bring trouble upon themselves and others, disregard the counsel of the cautious.",proverbs,,,,,,,23.0
,Iséma y'úmugabo yīrukana ishíshīro.,Un homme insensé repousse les visiteurs portant des présents.,A foolish man turns away visitors bearing presents.,proverbs,,,,,,,35.0
,"Isórōsóro igwīrira iyó iroyé (i bwĭnshi, i bwămi).",De nombreuses gouttes font un grand océan.,Many drops make a mighty ocean.,proverbs,,,,,,,50.0
,Isúka yāmá iríma ntîgwá ingése.,Une hache constamment utilisée ne rouille jamais.,A constantly used axe never gets rusty.,proverbs,,,,,,,31.0
,Itariki ni iyihe?,Quelle est la date?,What is the date?,general,,,,,,,17.0
,Itereni ishika isaha zingahe?,Le train arrive à quelle heure?,What time does the train arrive?,general,,,,,,,29.0
,Itáma ridatamíye ntíritamúra.,Une bonne santé commence par une bonne alimentation.,Good health starts with good eating.,proverbs,,,,,,,29.0
,Itōngo ní amagára y'úmūntu.,Un corps sain est la possession la plus riche.,A healthy body is the richest possession.,proverbs,,,,,,,27.0
,Itōngo ní ubuzima.,Une terre est un héritage.,A land is legacy.,proverbs,,,,,,,18.0
,Itōngo ry'úmuryāngo ní wo urizigáma.,La force de la famille protège la longueur de leur terre.,The family's strength guards their land's length.,proverbs,,,,,,,36.0
,Ivoka ry'îmbwá rikoroka (ijoro kăndi) ríhīye.,"Quand c'est le bon moment, tout se met en place naturellement.","When it's the right time, everything falls into place naturally.",proverbs,,,,,,,45.0
,Ivuriro riri kure yo ngaha.,L'hôpital est loin d'ici.,The hospital is far from here.,general,,,,,,,27.0
,Ivy'ábapfú birya abapfúmu.,Les malins profitent de l'ignorance des autres.,The clever feast upon the ignorance of others.,proverbs,,,,,,,26.0
,Ivy'ějo bibonwa n'Îmâna.,Demain est connu de Dieu.,Tomorrow is known by God.,proverbs,,,,,,,24.0
,Ivyamwa n'Imboga biraryoshe.,Les fruits et légumes sont frais.,The fruits and vegetables are fresh.,general,,,,,,,28.0
,Ivyatsi biba bikakaye vyumye.,Les herbes deviennent raides une fois sèches.,Herbs become stiff when dry.,general,,,,,,,29.0
,Ivyigwa vy’ubumenyi abandi babikoresha mu ndimi zabo,Des leçons de connaissances que d’autres utilisent dans leur propre langue,Knowledge lessons that others use in their own language,general,,,,,,,52.0
,Ivyirwa bikuru bikuru bakurikira ni ibi: 1,Les principaux arrière-plans du prochain sont : 1,The main backgrounds of the next one are: 1,general,,,,,,,42.0
,Ivyo babivuga gute mu gifaransa?,Comment dit-on cela en français?,How do you say this in French?,general,,,,,,,32.0
,Ivyo kurya mw ijoro vyatunganye.,Le dîner est prêt.,Dinner is ready.,general,,,,,,,32.0
,Ivyo mwijoro birateguye.,Le dîner est prêt.,Dinner is ready.,general,,,,,,,24.0
,Ivyâra ntírigōrá nk'írera.,"Donner naissance est facile, élever l'enfant est le vrai test.","Giving birth is easy, raising the child is the real test.",proverbs,,,,,,,26.0
,Ivyā gusa bitēra ubwênge buké.,Ce qui est gratuit rend fou si l'on veut en profiter à plusieurs reprises.,What is free makes one foolish if they want to take advantage of it repeatedly.,proverbs,,,,,,,30.0
,Ivyănse mu mashí bija mu migére.,"Si le plan échoue, changez de direction et trouvez une nouvelle approche.","If the plan fails, pivot and find a new approach.",proverbs,,,,,,,32.0
,Iwanyu ni he?,C'est où chez toi?,Where is your home?,general,,,,,,,13.0
,Iyahe genekerezo ?,Quelle est la date?,What is the date?,general,,,,,,,18.0
,Iyakáremye ní yo ikaména.,Celui qui crée peut aussi détruire.,He who creates can also destroy.,proverbs,,,,,,,25.0
,Iyakúrīye ntúyigéra inkoni.,On ne peut pas combattre le mal par le mal.,You cannot fight evil with evil.,proverbs,,,,,,,27.0
,Iyarâye ubúsa ntívugá.,Un estomac vide laisse la bouche silencieuse le matin.,An empty stomach leaves the mouth silent in the morning.,proverbs,,,,,,,22.0
,Iyi ni ifi.,Ceci est un poisson.,This is a fish.,vocabulary,,,,,,,11.0
,Iyi ni ikawa.,Ceci est un café.,This is a coffee.,vocabulary,,,,,,,13.0
,Iyi ni ikoti.,Ceci est un manteau.,This is a coat.,vocabulary,,,,,,,13.0
,Iyi ni imbwa.,Ceci est un chien.,This is a dog.,vocabulary,,,,,,,13.0
,Iyi ni imfuku.,Ceci est un taupe.,This is a mole.,vocabulary,,,,,,,14.0
,Iyi ni imparage.,Ceci est un zèbre.,This is a zebra.,vocabulary,,,,,,,16.0
,Iyi ni inanasi.,Ceci est un ananas.,This is a pineapple.,vocabulary,,,,,,,15.0
,Iyi ni inka.,Ceci est un vache.,This is a cow.,vocabulary,,,,,,,12.0
,Iyi ni inoti.,Ceci est un billet.,This is a banknote.,vocabulary,,,,,,,13.0
,Iyi ni intumbaswa.,Ceci est un physalis.,This is a physalis.,vocabulary,,,,,,,18.0
,Iyi ni inzige.,Ceci est un criquet.,This is a cricket.,vocabulary,,,,,,,14.0
,Iyi ni isahani.,Ceci est un assiette.,This is a plate.,vocabulary,,,,,,,15.0
,Iyi ni isekuro.,Ceci est un mortier.,This is a mortar.,vocabulary,,,,,,,15.0
,Iyi ni isuka.,Ceci est un houe.,This is a hoe.,vocabulary,,,,,,,13.0
,Iyi ni iyihe ndirimbo?,Quelle est cette chanson?,What is this song?,general,,,,,,,22.0
,Iyi reresi yari imeze neza.,Ce film était très bon.,This movie was very good.,general,,,,,,,27.0
,Iyi saha igurwa amafaranga y'Amarundi 1100.,Cette montre coûte plus de 1100 francs burundais.,This watch costs more than 1100 Burundian francs.,general,,,,,,,43.0
,Iyibíze nâbí uyīma ifu.,"Si cela commence mal, il vaut mieux abandonner.","If it starts on the wrong foot, it's best to walk away.",proverbs,,,,,,,23.0
,Iyigéze kure ntâ yitáyigéra ihěmbe.,"De loin, le lion ressemble à un chien.","In the distance, the lion appears like a dog.",proverbs,,,,,,,35.0
,Iyihôngotse arí imwé ntíbuzá izĭndi kurîsha.,"Si un maillon de la chaîne est cassé, les autres tiennent bon.","If one link in the chain is broken, the others hold strong.",proverbs,,,,,,,44.0
,Iyijá kurîsha ihēra kū nâma.,La vache nourrie au pâturage commence à manger dès la porte.,The pasture-fed cow starts eating from the gate.,proverbs,,,,,,,28.0
,Iyikîtse ntâ wutáyikóra mū nda.,Un chien qui ne bouge pas attire les pierres.,A dog that doesn't move attracts stones.,proverbs,,,,,,,31.0
,Iyikúbūriye ntíkuryá.,Un esprit alerté échappe aux dangers qu'un ennemi présente.,An alerted mind evades the dangers a foe presents.,proverbs,,,,,,,21.0
,Iyinízwe n'amáta ntâ wŭndi mwērēra.,Certains problèmes n'ont pas de remède.,Certain problems have no remedy.,proverbs,,,,,,,35.0
,Iyirí ubwôba irahwêza.,Ceux qui laissent la peur les contrôler sont vulnérables en temps de conflit.,Those who let fear control them are vulnerable in times of conflic.,proverbs,,,,,,,22.0
,Iyisîzwe umûnyu n'Îmâna irigatwa ná zöse.,Celui qui est béni avec du sel attire le goût de tous.,He who is blessed with salt attracts the taste of all.,proverbs,,,,,,,41.0
,Iyivyâgiye kěra ivyāgurukana irāgo.,"Quand le bétail reste inactif trop longtemps, la suspicion naît et il devient un repas.","When livestock remains idle for too long, suspicion arises and it becomes a meal.",proverbs,,,,,,,35.0
,Iyivyâriye ku macúniro ntîbá ikíbāzwe.,"Une fois qu'une vache a donné naissance à l'abattoir, elle échappe au couteau du boucher.","Once a cow gives birth at the slaughterhouse, she escapes the butcher's knife.",proverbs,,,,,,,38.0
,Iyivyâye ikibóze irakírigata.,Prenez l'amer avec le doux.,Take the bitter with the sweet.,proverbs,,,,,,,29.0
,Iyo komine ifise imitumba mirongo itatu n'umunani,La commune compte trente-huit villages,The commune has thirty-eight villages.,general,,,,,,,49.0
,Iyo ndakibutse ndababara cane,"Quand je m'en souviens, je me sens mal","When I remember it, I feel bad",general,,,,,,,29.0
,"Iyo ukoze neza, uhindura abantu neza","Quand c'est bien fait, on change bien les gens","When it's done well, we change people well",general,,,,,,,36.0
,Iyonkuru ni nkenegwa,L'histoire est intéressante.,The story is interesting.,general,,,,,,,20.0
,Iyítăkōye nyoko uyihonyora mu mayêzi.,"Si quelque chose manque d'importance pour quelqu'un, il peut le traiter avec indifférence.","If something lacks importance to an individual, they may treat it with disregard.",proverbs,,,,,,,37.0
,"Iyó abó mūnganá batāngúye kurōngorwa
- Mbèéga ntâ mugēnzi w’úmuhùúngu ufisé?","Pourtant, lorsque tes pairs commencent à se marier, elle demande tranquillement:
- Tu n'as pas d'amis garçons ??","Yet, as your peers start getting married, she casually inquires:
- Don't you have any male friends?",jokes,,,,,,,76.0
,"Iyó imbwá iríko irakwîrukakó, uca wûmva bā nyéne yo ngo: «Reka kwìíruka, ntā nakímwe ikugirá»
Nkâhó umèénga iyo mbwá irikó ikwīrukakó kugíra ikuramútse.","Quand un chien court après vous, apparemment pour vous mordre, vous pouvez toujours compter sur son propriétaire qui crie : ""Ne courez pas, il ne vous fera pas de mal"".
Comme si le chien était simplement en mission amicale pour vous saluer.","When a dog is sprinting after you, seemingly aiming for a bite, you can always count on its owner yelling, ""Don't run, it won't hurt you,"". 
As if the dog is just on a friendly mission to greet you.",jokes,,,,,,,152.0
,Iyó indûrú ivuzé umushūmba atānga shêbuja gupfá.,"Quand les loups hurlent, c'est le chien du berger qui périt.","When the wolves howl, it is the shepherd's dog that perishes.",proverbs,,,,,,,48.0
,"Iyó natētsé nikó mbá méze ""
Twàárabaménye.","À chaque fois que je cuisine, c'est toujours comme ça.'
Un gros mensonge ! On se connaît déjà.","Whenever I cook, I am always like this.'Such a big lie! We already know each other.",jokes,,,,,,,42.0
,"Iyó nshavúye nárōnse amanotá maké kw’īshùúre
- Māwé: Oya réka gushávura ni ibisânzwe, fūngura!!","Quand je suis triste à cause de mauvaises notes à l'école :
Maman : ""Arrête d'être triste, c'est normal. Mange, ne t'en fais pas ."" ","When I feel down because of poor grades at school:
- Mom: ""Stop being sad, it's normal. Just eat.""",jokes,,,,,,,95.0
,Iyó ntafisé amaherá nguma nîyumvīra imigàámbi nzôkóra ního nayaròónka.,"Quand je n'ai pas d'argent, je pense constamment à mon plan d'investissement pour quand j'en aurai.","When I don't have money, I constantly think about my investment plan for when I get some. ",jokes,,,,,,,70.0
,"Iyó terekomânde iríko ikora nâbí
Umufaràánsa :Gēndâ muhùúngu wānje uguré ayàándi mapìíre.","Cette télécommande ne fonctionne pas.""
- Un Français : ""Va acheter d'autres piles, mon fils.""
","This remote control is not working.
- A French person: ""Go and buy other batteries, my son.""
",jokes,,,,,,,89.0
,Iyó umugoré avūyé ku kazi.,Lorsqu'une femme rentre du travail ,When a woman is returning from work,jokes,,,,,,,26.0
,"Iyó umuhùúngu ajé kuramutsa Umukòóbwa iwàábo, atāshé.","Quand le garçon qui est venu rendre visite à la fille chez elle s'en va.
","When the guy who visited the girl at her home is leaving.
",jokes,,,,,,,53.0
,"Iyó uríko usaba Amaherá yó gusohoka nyoko wāwe 
- Jēwé : Màá, nshāka Amaherá yó kuja mw'īsábukurú ry'úmugēnzi
- Māwé : Mbèé wībaza ko Jēwé Amaherá ndayàámūra ku gití?","Chaque fois que je demande de l'argent à ma mère pour sortir.
- Moi : Maman, j'ai besoin de sous pour aller à l'anniversaire de mon ami.
- Ma maman : Tu crois que l'argent pousse sur les arbres ?","Every time I ask my mom for money to go out.
- Me: Mom, I need some cash to attend my friend's birthday.
- My mom: Do you believe money sprouts from trees?",jokes,,,,,,,166.0
,"Iyó uríko usaba amaherá wagúrānye nyoko wāwe 
- Jēwé : Hèé màá, nshāka yâ maherá nagúha
- Māmá : ûhuwaaa ngwikí?...ubu imyâka mazé ndákugaburira kó ntarâkwīshuza","Quand tu rassembles enfin le courage de demander à ta mère l'argent que tu lui as récemment prêté.
Moi : Maman, puis-je récupérer l'argent que je t'ai donné ?
Maman : Quoi ?... T'ai-je déjà envoyé une facture pour toutes ces années de service gastronomique que j'ai assuré ?","When you finally muster the courage to ask your mom for the money you recently lent her.
Me: Mom, can I get back the money I gave you?
Mom: What?... Did I ever send you an invoice for all those years of gourmet service I've provided?",jokes,,,,,,,161.0
,"Iyó utāshé utévye utâri wâvúze iyó wagīyé abavyêyi b’ábarùúndi, baca bágira bati: ""Subīra iyó uvūyé shàáaa!""","Chaque fois que tu rentres tard à la maison sans avoir préalablement informé quelqu'un de l'endroit où tu étais, les mamans burundaises disent : ""Retourne d'où tu viens.""","Whenever you come back home late without previously informing anyone of your whereabouts, Burundian moms are like, ""Go back to where you're coming from.""",jokes,,,,,,,108.0
,Iyó utēyé ibuye mū mbwá nyĭnshi iyimótse ní yo ubá ugémye.,"Quand une pierre est lancée parmi un groupe de chiens, celui qui crie est celui qui a été touché.","When a stone is thrown among a group of dogs, the one that yelps is the one that got hit.",proverbs,,,,,,,58.0
,Iyó uvá ntíhakuvá inyuma.,"Votre maison reste enracinée, peu importe la distance parcourue.","Your home stays rooted, no matter how far you travel.",proverbs,,,,,,,25.0
,Iyănka kuzímira irâbira.,Un fardeau partagé est un fardeau diminué de moitié.,A burden shared is a burden halved.,proverbs,,,,,,,24.0
,Iyŭbutse ntíhishwá Indûrú.,"Au milieu de la chasse, lorsque la proie apparaît, les chasseurs élèvent facilement leurs voix pour signaler ceux de l'autre côté.","In the midst of the hunt, when the quarry shows up, hunters readily raise their voices to signal those on the other side.",proverbs,,,,,,,26.0
,Izi ni ingano.,Ceci est un blé.,This is a wheat.,vocabulary,,,,,,,14.0
,Izi nzoga ni kuziheba nukuri.,Il est peut-être temps de stopper l'alcool.,Perhaps it's time to consider cutting back on the drinking.,jokes,,,,,,,29.0
,Izijá guhóna zihēra mu ruhŏngore.,Le destin inévitable des vaches se révèle lorsqu'elles commencent à mourir une à une à l'intérieur de l'enclos.,The inevitable fate of cows reveals itself as they begin to die off one by one within the enclosure.,proverbs,,,,,,,33.0
,Izikénye ziruta izinyázwe.,"Une vache maigre dans ton troupeau vaut mieux qu'une grasse, volée.","A thin cow in your herd is better than a fat one, stolen from you.",proverbs,,,,,,,26.0
,Izina ryanyu ni gute?,Quel est votre nom?,What is your name?,general,,,,,,,21.0
,Izo zibiká zări amági.,Les grandes choses ont de petits commencements.,Big things have small beginnings.,proverbs,,,,,,,22.0
,Izo zābíra zări imitavu.,Les géants d'aujourd'hui étaient autrefois minuscules.,Today's giants were once tiny.,proverbs,,,,,,,24.0
,Izorwa ejo.,Il va pleuvoir demain.,It's going to rain tomorrow.,general,,,,,,,11.0
,Izuba riraka uyu musi.,Le soleil brille aujourd'hui.,The sun is shining today.,general,,,,,,,22.0
,Izuba rirasayengana uno musi,Le soleil brille aujourd'hui.,The sun is shining today.,general,,,,,,,28.0
,Izuba rirenga bwije mu ci.,Le soleil se couche tard en été.,The sun sets late in summer.,general,,,,,,,26.0
,Izuba rirenga riteba mu ci.,Le soleil se couche tard en été.,The sun sets late in summer.,general,,,,,,,27.0
,Izuba rirenga ritevye muci.,Le soleil se couche tard en été.,The sun sets late in summer.,general,,,,,,,27.0
,Izína ní ryo mūntu.,"Comme le nom, telle est la personne.","As the name, so is the person.",proverbs,,,,,,,19.0
,Izā nyabutīndi zămazwe n'úmugére w'ísāzi.,"Petit à petit, les biens d'un malchanceux disparaissent pour des raisons futiles.","Little by little, the possessions of an unlucky individual disappear for trivial reasons.",proverbs,,,,,,,41.0
,Jewe mfise basazanje babiri,J'ai deux frères.,I have two brothers.,general,,,,,,,27.0
,Jewe mpitamwo umuceri hako notora imikate,Je préfère le riz au lieu des pâtes.,I prefer rice instead of pasta.,general,,,,,,,41.0
,Jewe ndarondera imfunguruzo zanje,Je cherche mes clés.,I'm looking for my keys.,general,,,,,,,33.0
,Jewe ndashonje ubu,J'ai faim maintenant.,I'm hungry now.,general,,,,,,,18.0
,Jewe ndi mushiki wa Kagabo.,Moi je suis la sœur de Kagabo.,I am Kagabo's sister.,general,,,,,,,27.0
,Jewe ndi umunyeshure,Je suis étudiant.,I am a student.,general,,,,,,,20.0
,Jewe ngiye gufata itagisi,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,,,,25.0
,Jewe ngiye muri kaminuza,Je vais à l'université.,I'm going to university.,general,,,,,,,24.0
,Jewe nkeneye impanuro,J'ai besoin d'un conseil.,I need advice.,general,,,,,,,21.0
,Jewe nshaka kwiga igifaransa,Je veux apprendre le français.,I want to learn French.,general,,,,,,,28.0
,Jewe ntegerezwa gukora imyimenyerezo myinshi,Je dois faire plus d'exercice.,I need to exercise more.,general,,,,,,,44.0
,Jēwé ngira nsigaye ndwâye amâso.,Je pense que j'ai un problème avec mes yeux. ,I suspect I might have an issue with my eyes.,jokes,,,,,,,32.0
,Jēwé: Bàáraduhâye devoir??,"Moi : ""Avons-nous un devoir ?""","Me: ""Do we have a homework?""",jokes,,,,,,,26.0
,Kabiri karazirwa.,"Répéter une erreur, c'est comme marcher sur le même clou deux fois.",Repeating a mistake is like stepping on the same nail twice.,proverbs,,,,,,,17.0
,Kahise kari inyuma yacu.,Le passé est derrière nous.,The past is behind us.,general,,,,,,,24.0
,Kamwé ní ubúsa.,Une clé ne peut pas ouvrir toutes les portes.,One key cannot unlock all doors.,proverbs,,,,,,,15.0
,Kananira abagabo ntíyĭmye.,La résistance à la guidance freine le voyage vers le succès.,Resistance to guidance stalls the journey to success.,proverbs,,,,,,,26.0
,"Kandi bose, babishizemwo ugushaka, bobishobora","Et tout le monde, qui le souhaitent, peut le faire","And everyone, who wants to, can do it",general,,,,,,,46.0
,Kandi urwo rwego nshingwakirundi rurakenewe,Et ce niveau de responsabilité sur le Kirundi est également nécessaire,And this level of responsibility for Kirundi is also necessary,general,,,,,,,43.0
,Karahára mu rugănda ntíbacurá.,Un petit engrenage dans une grande machine peut faire toute la différence.,A small cog in a big machine can make all the difference.,proverbs,,,,,,,30.0
,Kayanza ni igisagara kiri mugihugu c'Uburundi,Kayanza est une ville du Burundi.,Kayanza is a town in Burundi.,general,,,,,,,45.0
,Kazoza karimwo igipfungu.,L'avenir est incertain.,The future is uncertain.,general,,,,,,,25.0
,Kazoza ntikazwi neza.,L'avenir est incertain.,The future is uncertain.,general,,,,,,,21.0
,Kibúrabwênge c'úmugabo yakwîkiye ishênyo mu gisomasoma.,Ne comptez pas vos poules avant qu'elles ne soient écloses.,Don't count your chickens before they hatch.,proverbs,,,,,,,55.0
,Kigarama:Ni ukwezi kw’icumi na kabiri,Décembre : est le douzième mois.,December: is the twelfth month.,general,,,,,,,37.0
,"Kigeme ati: «Urakoze wewe umunkuyeko, yari anjwigirije iyo utaba hafi.»","Kigeme dit :"" Merci de m'avoir débarrasser d'elle, ça aurait tourné mal si tu n'étais pas tout près.""","Kigeme says: Thank you for getting rid of her, it would have turned out badly if you weren't nearby.",general,,,,,,,71.0
,Kiranga arihe?,Où est Kiranga?,Where is Kiranga?,general,,,,,,,14.0
,Kirūndo ni intârá iri mu buraruko bw'Uburundi,Kirundo est le pays qui se trouve au nord du Burundi,Kirundo is the country located to the north of Burundi,general,,,,,,,45.0
,Ko Ikirundi gitezwa imbere hagati mugihugu,Ce Kirundi est développé au milieu du pays,This Kirundi is developed in the middle of the country,general,,,,,,,42.0
,Kopi ishirwa muri dosiye y’ubuyobozi.,Une copie est versée au dossier administratif.,A copy is placed in the administrative file.,general,,,,,,,37.0
,Koresha ikibika umucafu.,Utilisez les poubelles.,Use the trash cans.,general,,,,,,,24.0
,"Ku bāntu bagumá bâmbaza igitúma nryāmá ntévye, ni gúte nōryāmá nkatōra itíro kàándi imyâka mfisé isûmba amaherá mfisé murí lumicash yānje?","En réponse à ceux qui s'interrogent sur mes habitudes nocturnes, je me demande souvent comment je peux dormir paisiblement quand les chiffres de mon âge dépassent la somme d'argent sur mon compte.","In response to those who inquire about my late-night habits, I often wonder how I can peacefully sleep when the digits in my age outnumber the number in my bank account.",jokes,,,,,,,138.0
,Kubera iki ushavuye ?,Pourquoi es-tu en colère?,Why are you angry?,general,,,,,,,21.0
,Kuberiki ushavuye?,Pourquoi es-tu en colère?,Why are you angry?,general,,,,,,,18.0
,Kubá imbwá sí ukumoka.,La stupidité a d'innombrables déguisements.,Stupidity has countless disguises.,proverbs,,,,,,,22.0
,Kubá murēmure sí ko kumanura imvúra.,Même le plus grand ne peut pas commander les nuages de pluie.,Even the tallest cannot command the rainclouds.,proverbs,,,,,,,36.0
,"Kubá umugoré, nâhó wōbá ukûnda gushaza gúte, birakenerwa kujāna iyìíndi sáho irímwo agatèénge n'íkambambirí, kukó ntumenyá ryârí mutāngúra kwìíruka","En tant que femme, peu importe à quel point tu es habituellement bien habillée, il est toujours conseillé de garder une pagne et des babouches dans ton sac à dos. On ne sait jamais quand il faudra commencer à courir","As a woman, no matter how well put-together you usually are, it's always advisable to keep a wraparound cloth and slippers in your backpack. You never know when you might need to start running.",jokes,,,,,,,147.0
,Kubáho ní ukubâna.,La vie consiste à vivre en harmonie avec les autres.,Life consists of living in harmony with others.,proverbs,,,,,,,18.0
,"Kubânza kugēnda ngo urābé kó umudàándaza akubwìíra ngo ""Garuka bàási"" , n’ubuhìínga abarùúndi twëse dukorêsha túgīye kugura ikīntu.","Quand vous êtes au marché et que vous faites le coup du 'Je m'en vais, peut-être qu'ils vont m'appeler', c'est le mouvement classique que nous faisons tous en faisant nos courses","When you're at the market and play the 'I'm leaving, maybe they'll call me back' card with the vendor, it's the classic move we all pull when shopping.",jokes,,,,,,,131.0
,Kubêra ikí iyó atā maherá ufisé ugumá ubóna ibīntu vyīzá kàándi bizīmbûtse?,"Pourquoi est-ce que, chaque fois qu'on est fauché, on commence soudainement à repérer des choses magnifiques et moins chères partout ?","Why is it that whenever you're broke, all of a sudden, you start spotting beautiful and affordable things everywhere?",jokes,,,,,,,75.0
,"Kubêra ikí iyó ufisé amaherá, ivyó kuryá vyó muhirá bicá bíbīha?","Il semble que lorsque quelqu'un a de l'argent, il a souvent l'impression que la nourriture à la maison est moins délicieuse.","It seems that when someone has money, they often perceive the food at home as less delicious.",jokes,,,,,,,64.0
