File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Speaker_id,Age,Gender,Machine_Suggestion
,Mwěne nāká yōkuzirika ku cătsi.,"Un adversaire inconnu exige de la prudence, il pourrait émerger victorieux si vous choisissez de le confronter.","An unknown adversary demands caution, they might emerge victorious if you choose to confront them.",proverbs,,,,
,"Mìísi yöse iyó uvuzé kó watāyé amaherá/urupfūnguruzo, ntihīgéra hábura umūntu uzá wûmva akúbajije ngo ""Wayatāye/warutāye hêhé?"", nkâhó umèénga iyâbá uzí ahó wayatàáye/warutàáye ntūbá wâgīye kuyátōra/kurútōra","Chaque fois que tu perds quelque chose, il y a toujours cette personne qui demande : ""Où l'as-tu perdu ?"" Comme si savoir où tu l'as perdu t'aurait empêché d'aller le chercher","Every time you lose something, there's always that one person asking, ""At which place did you lose it?"" As if knowing where you lost it would have prevented you from searching for it.",jokes,,,,
,Māmá yashize umukâté ku mêzá nca ndawúrya.,"Ma mère a laissé du pain sur la table, et je l'ai mangé.","My mom left a bread on the table, and as soon as she left, I immediately jumped on it and ate it.",jokes,,,,
,"Māwé Māwé Māwé 
- Mu bufaràánsa :ēgó kibôndo cānje
- Mu Burùúndi : Utárīnze gukóma indûrú usâmirana umutùúmba wöse ntā mahóro wūmvá ?","Maman, maman, maman !!!
- En France : Oui, mon cher.
- Au Burundi :Si tu ne cries pas mon nom partout, est-ce que tu ne ressens pas la paix ?","Mom, mom, mom!!!
- In France: Yes, my love.
- In Burundi: If you're not shouting my name everywhere, don't you find peace??",jokes,,,,
,Māwé igihe narí mfíse imyâka 10: Zana aryá maherá nyokórume wāwe yaguhàáye  ndayakúbīkire nzōyaguha níwayakenéra.,"Quand j'avais 10 ans, ma mère disait : ""Apporte cet argent que ton oncle t'a donné ; je te le rendrai quand tu en auras besoin.""  ","When I was 10 years old, my mom was like: ""Bring that money your uncle gave you; I'll give it back to you when you need it.""  ",jokes,,,,
,Mū nda haba umutíma ntíhabá umutsíma.,"C'est le cœur, et non l'estomac, qui définit vraiment une personne.","It's the heart, not the stomach, that truly defines a person.",proverbs,,,,
,Mū nda harāra inzara hakavyūka inzigo.,Un homme affamé est un homme en colère.,A hungry man is an angry man.,proverbs,,,,
,N'iciyumviro ciza,C'est une bonne idée.,It's a good idea.,general,,,,
,N'ikirimi kigoye,C'est une langue difficile.,It's a difficult language.,general,,,,
,N'inkuru nziza y'urukundo.,C'est une belle histoire d'amour.,It's a beautiful love story.,general,,,,
,N'ubúsa burazirwa.,L'injustice fait trébucher les innocents.,Injustice causes the innocent to stumble.,proverbs,,,,
,N'umugenzi wanje(umukobwa),Elle est mon amie.,She is my friend.,general,,,,
,N'úburí ku munwa burakoroka.,Même l'arbre le plus haut peut être abattu par le vent.,Even the tallest tree can be brought down by the wind.,proverbs,,,,
,N'úwutáco avuzé aba avúze.,Le silence est plus éloquent que les mots.,Silence speaks louder than words.,proverbs,,,,
,N'ūwó kwàá nde ?,Qui sont ses parents ? , Who are his parents? ,jokes,,,,
,Na Bucangênda yapfûye atágīyé.,Celui qui annonce est moins susceptible d'agir.,The one who announces is less likely to perform.,proverbs,,,,
,Na kare abasokuru barayamaze ngo “ntamwuga udakiza”,Nos ancêtres disaient un jour : « il n’y a pas de métier qui ne guérisse pas ».,Our ancestors once said: “there is no profession that does not heal”.,general,,,,
,"Na yo akwiriye gusubira gutunganywa, kuko yarafasha","Il devrait être reconsidéré, car il aide","It should be reconsidered, because it helps",general,,,,
,Nabaza ko arivyo,Je pense que oui.,I think so.,general,,,,
,Nabonye akadede keza,J'ai vu une jolie perle,I saw a beautiful pearls,vocabulary,,,,
,Nabonye amaraso menshi,J'ai vu beaucoup de sang.,I saw so much blood.,vocabulary,,,,
,Nabonye ibakure nziza.,J'ai vu un beau bol.,I saw a beautiful bowl.,vocabulary,,,,
,Nabonye ibiyoba vyiza.,J'ai vu un beau cacahuète.,I saw a beautiful peanut.,vocabulary,,,,
,Nabonye icayi ciza.,J'ai vu un beau thé.,I saw a beautiful tea.,vocabulary,,,,
,Nabonye idubu nziza.,J'ai vu un beau ours.,I saw a beautiful bear.,vocabulary,,,,
,Nabonye igikopo ciza.,J'ai vu un beau boîte de conserve.,I saw a beautiful tin can.,vocabulary,,,,
,Nabonye igiti ciza.,J'ai vu un beau arbre.,I saw a beautiful tree.,vocabulary,,,,
,Nabonye ihereni ryiza.,J'ai vu un beau boucle d'oreille.,I saw a beautiful earring.,vocabulary,,,,
,Nabonye ikaramu nziza.,J'ai vu un beau stylo.,I saw a beautiful pen.,vocabulary,,,,
,Nabonye ikete ryiza.,J'ai vu un beau lettre.,I saw a beautiful letter.,vocabulary,,,,
,Nabonye ikiyiko ciza.,J'ai vu un beau cuillère.,I saw a beautiful spoon.,vocabulary,,,,
,Nabonye imbeba nziza.,J'ai vu un beau souris.,I saw a beautiful mouse.,vocabulary,,,,
,Nabonye imetero nziza.,J'ai vu un beau mètre.,I saw a beautiful meter.,vocabulary,,,,
,Nabonye imiteza myiza.,J'ai vu un beau haricot vert.,I saw a beautiful green beans.,vocabulary,,,,
,Nabonye impongo nziza.,J'ai vu un beau antilope.,I saw a beautiful antelope.,vocabulary,,,,
,Nabonye indogoba nziza.,J'ai vu un beau âne.,I saw a beautiful donkey.,vocabulary,,,,
,Nabonye ingona nziza.,J'ai vu un beau crocodile.,I saw a beautiful crocodile.,vocabulary,,,,
,Nabonye inkere nziza.,J'ai vu un beau baies.,I saw a beautiful berries.,vocabulary,,,,
,Nabonye intare nziza.,J'ai vu un beau lion.,I saw a beautiful lion.,vocabulary,,,,
,Nabonye inyama ya kibizi nziza.,J'ai vu un beau mollet.,I saw a beautiful calf.,vocabulary,,,,
,Nabonye inyenzi nziza.,J'ai vu un beau cafard.,I saw a beautiful cockroach.,vocabulary,,,,
,Nabonye inzovu nziza.,J'ai vu un beau éléphant.,I saw a beautiful elephant.,vocabulary,,,,
,Nabonye iradiyo nziza.,J'ai vu un beau radio.,I saw a beautiful radio.,vocabulary,,,,
,Nabonye irigi nziza.,J'ai vu un beau oeuf.,I saw a beautiful egg.,vocabulary,,,,
,Nabonye isambwe nziza.,J'ai vu un beau mangouste.,I saw a beautiful mongoose.,vocabulary,,,,
,Nabonye isitimu nziza.,J'ai vu un beau torche.,I saw a beautiful torch.,vocabulary,,,,
,Nabonye itomati nziza.,J'ai vu un beau tomate.,I saw a beautiful tomato.,vocabulary,,,,
,Nabonye ivubi ryiza.,J'ai vu un beau guêpe.,I saw a beautiful wasp.,vocabulary,,,,
,Nabonye izuru ryiza.,J'ai vu un beau nez.,I saw a beautiful nose.,vocabulary,,,,
,Nabonye ukuboko kwiza.,J'ai vu un beau bras.,I saw a beautiful arm.,vocabulary,,,,
,Nabonye umuceri mwiza.,J'ai vu un beau riz.,I saw a beautiful rice.,vocabulary,,,,
,Nabonye umuduga mwiza.,J'ai vu un beau voiture.,I saw a beautiful car.,vocabulary,,,,
,Nabonye umugozi mwiza.,J'ai vu un beau corde.,I saw a beautiful rope.,vocabulary,,,,
,Nabonye umuhwi mwiza.,J'ai vu un beau banane.,I saw a beautiful banana.,vocabulary,,,,
,Nabonye umupira mwiza.,J'ai vu un beau ballon.,I saw a beautiful ball.,vocabulary,,,,
,Nabonye umusozi mwiza.,J'ai vu un beau montagne.,I saw a beautiful mountain.,vocabulary,,,,
,Nabonye umutemere mwiza.,J'ai vu un beau couvercle.,I saw a beautiful cover.,vocabulary,,,,
,Nabonye umwembe mwiza.,J'ai vu un beau mangue.,I saw a beautiful mango.,vocabulary,,,,
,Nabonye uruhome rwiza.,J'ai vu un beau mur.,I saw a beautiful wall.,vocabulary,,,,
,Nabonye urutete rwiza.,J'ai vu un beau graine.,I saw a beautiful grain.,vocabulary,,,,
,Nabonye uruyuki rwiza.,J'ai vu un beau abeille.,I saw a beautiful bee.,vocabulary,,,,
,Nacīye ndámuha akaruhūko k'ûkwêzi kwöse.,je lui ai accordé un mois de congé,I granted them a whole month off,jokes,,,,
,Nafashe ingingo.,J'ai pris une décision.,I made a decision.,general,,,,
,Nafunguye cane.,J'ai trop mangé.,I ate too much.,general,,,,
,Nafunguye gose.,J'ai trop mangé.,I ate too much.,general,,,,
,Naguze ivyamwa mwisoko,J'ai acheté des fruits au marché.,I bought some fruit at the market.,general,,,,
,Naho rero hari abatabibona kumwe ntitwota umuco.,"Même s'il y a des personnes qui ne sont pas d'accord, nous ne pouvons pas détruire la culture.","Even if there are people who disagree, we cannot destroy the culture.",general,,,,
,Nahuye n'Abantu bashasha.,J'ai rencontré de nouvelles personnes.,I met new people.,general,,,,
,Nakorēsheje amaherá yó kuriha inzu!,j'ai utilisé l'argent de mon loyer., I used my rent money,jokes,,,,
,Nama ngerageza kuba imisi yose k'umwanya.,J'essaie d'être toujours à l'heure.,I try to always be on time.,general,,,,
,Nanje nza mbeshejweho na ca kirundi bakengera.,et moi Je suis survi par le kirundi ignorant.,and I am survived by the ignorant Kirundi.,general,,,,
,Narafashe ingingo.,J'ai pris une décision.,I made a decision.,general,,,,
,Naraguze umuduga mushasha.,J'ai acheté une nouvelle voiture.,I bought a new car.,general,,,,
,Narahuye n'abantu bashasha,J'ai rencontré de nouvelles personnes.,I met new people.,general,,,,
,"Narakunda abanyeshure, nabo bakankunda",J'aimais les élèves et ils m'aimaient,I loved the students and they loved me,general,,,,
,Nari nshaka agakawa.,Je voudrais un café.,I would like a coffee.,general,,,,
,Nashaka agakawa.,Je voudrais un café.,I would like a coffee.,general,,,,
,Natakaje igitabo c'inzira.,J'ai perdu mon passeport.,I lost my passport.,general,,,,
,Nataye igitabo c'inzira.,J'ai perdu mon passeport.,I lost my passport.,general,,,,
,Nataye ikibika mpapuro canje.,J'ai perdu mon portefeuille.,I lost my wallet.,general,,,,
,Natoye inyishu.,J'ai trouvé la solution.,I found the solution.,general,,,,
,Navyutse isaha cumi na zibiri,Je me réveille à six heures.,I wake up at six o'clock.,general,,,,
,Nazimiye.,Je suis perdu.,I'm lost.,general,,,,
,Ncé mbóna yūguruje ikiyêri amênyo,"Soudain, je la vois ouvrir une bière avec ses dents.",Then I saw her opening a beer with her teeth,jokes,,,,
,Nda nshonje ubu,J'ai faim maintenant.,I'm hungry now.,general,,,,
,Ndababaye,Je suis triste,I am sad,emotions,,,,
,"Ndabihejeje, aca antuma gusoroma ibijumbu. Mpitana isuka n’igitemere, mfata akayira.","Après avoir terminé, il m'a envoyé récolter les patates douces. J'ai pris la houe et le panier, pris le chemin.","After he finished, he sent me out to harvest the sweet potatoes. I took the hoe and the basket, took the path.",general,,,,
,Ndabirīnze yagûye mu mirīnzi.,Trop de protection peut mener à la chute.,Too much protection can lead to one's downfall.,proverbs,,,,
,Ndabirŭnguruke yagûye mu myūgariro.,La curiosité qui franchit les limites peut entraîner des conséquences inattendues.,Curiosity that crosses boundaries can lead to unexpected consequences.,proverbs,,,,
,Ndacerewe,Je suis en retard.,I'm late.,general,,,,
,Ndacâri mutó ní bwo butīndi.,Utiliser la jeunesse comme excuse pour ne rien faire de valable est un signe de honte.,Using youth as an excuse for not doing something valuable is a sign of shame.,proverbs,,,,
,Ndafise amakenga.,J'ai quelques doutes.,I have some doubts.,general,,,,
,Ndagikosora ubu nyene,Je corrige cela immédiatement.,I'm fixing this immediately.,general,,,,
,Ndagukeje!,Félicitations!,Congratulations!,general,,,,
,Ndahimbawe,Je suis fière,I am proud,emotions,,,,
,Ndahimbawe no guhura namwe,Enchanté de vous rencontrer.,Nice to meet you.,general,,,,
,Ndakeneye imiti.,J'ai besoin de médicaments.,I need medicine.,general,,,,
,Ndakeneye impanuro,J'ai besoin d'un conseil.,I need advice.,general,,,,
,Ndakeneye inyabwonko nshasha.,J'ai besoin d'un nouvel ordinateur.,I need a new computer.,general,,,,
,Ndakeneye kumenya ikīntu nakóreye amaherá kubêra ukūntu asigáye anyînūba ntibisānzwé nagáto.,"Je veux savoir ce que j'ai réellement fait à l'argent. Il continue de me fuir. En tout cas, ce n'est pas normal",I want to know what I really did to money. It keeps running away from me. It's not normal.,jokes,,,,
,Ndakeneye kuruhuka.,J'ai besoin de repos.,I need rest.,general,,,,
,Ndakeneye mudasobwa nshasha.,J'ai besoin d'un nouvel ordinateur.,I need a new computer.,general,,,,
,"Ndakenye kuburyó nâhó ndōtá mfíse Amaherá, umutwé wānje ucá umbwîra ngo ""Ikāngure réka kubá wîgumūra.""","Je suis fauché au point que même si je rêve d'avoir de l'argent, mon esprit me dit simplement : 'Réveille-toi ! Pourquoi penses-tu à de telles absurdités ?'","I am broke to the point that even if I dream of having money, my mind just tells me, 'Wake up! Why are you thinking such nonsense?'",jokes,,,,
,Ndakubabariye.,Je te pardonne.,I forgive you.,general,,,,
,Ndakunda  imicungwe,J'aime les oranges.,I like oranges.,general,,,,
,Ndakunda ahakanye cane.,J'aime la neige.,I like snow.,general,,,,
,Ndakunda akamoto kumukate mushasha,J'aime l'odeur du pain frais.,I love the smell of fresh bread.,general,,,,
,Ndakunda gucapa no gusiga.,J'aime dessiner et peindre.,I like to draw and paint.,general,,,,
,Ndakunda gusoma Ibitabu.,J'aime lire des livres.,I like reading books.,general,,,,
,Ndakunda inyambaro yawe.,J'aime ton style.,I like your style.,general,,,,
,Ndakunda kino gihugu.,J'aime ce pays.,I love this country.,general,,,,
,Ndakunda kwoga mu kiyaga.,J'aime nager dans le lac.,I like swimming in the lake.,general,,,,
,Ndakunda urubura,J'aime la grêle.,I like hail.,general,,,,
,Ndakwânse ntîvámwo ndagúkūnze.,"Une fois que la haine est révélée, elle ne peut jamais se transformer en amour.","Once hatred is exposed, it can never transform into love.",proverbs,,,,
,Ndakûmbuye imyâka yó mu mashùúre yīsûmbuye.,"Les années de lycée me manquent.
","I miss those high school years.
",jokes,,,,
,"Ndakûmbuye vyâ bihe ufíse amajana atānu, abâna böse bó mu micûngararo bàáca bátāngura kukwîta ""Bòósi""","Le temps où, en tant qu'enfant, avoir seulement 10 centimes d'euros vous valait le titre de ""patron"" de la part de tous les autres enfants du quartier me manque.","I miss those childhood years when having just 10 cents would earn you the title of ""boss"" from every child in the neighborhood.",jokes,,,,
,"Ndakûnda ukūntu asá, ndakûnda ukūntu amōtá, ndakûnda ibitàángāza ankoréra, ndakûnda ingéne amará inzara n'înyôta
- Umugēnzi : Yītwa guté ?
- Jēwé : Amaherá","J'adore son énergie, son parfum est incroyable, tout ce qu'il fait pour moi est fantastique, et sa nature attentionnée est inégalée.
Mon ami : ""C'est qui ce chanceux ?""
Moi : ""Oh, juste mon bon vieux copain, l'argent.""","I love his vibes, his scent is amazing, everything he does for me is fantastic, and his caring nature is unmatched.
My friend: ""Who's that lucky guy?""
Me: ""Oh, just my good ol' friend, Money.""",jokes,,,,
,Ndamenetse umutwe.,J'ai mal à la tête.,I have a headache.,general,,,,
,Ndamukiza:Ukwezi kwa kane ni Ndamukiza,Avril : Le quatrième mois est avril.,April: The fourth month is April.,general,,,,
,Ndanyotewe.,J'ai soif.,I'm thirsty.,general,,,,
,Ndanywa umutobe w'umucungwe mugatondo.,Je bois un jus d'orange le matin.,I drink orange juice in the morning.,general,,,,
,Ndarushe.,Je suis fatigué.,I'm tired.,general,,,,
,Ndarwaye,Je suis malade.,I'm sick.,general,,,,
,Ndaryohewe,Je suis contente,I am happy,emotions,,,,
,Ndaryĭmare ní we ndaryĭtēre.,Ceux qui cherchent à s'adonner à l'excès par des actions pécheresses sont destinés à attirer le malheur sur eux.,Those who seek to indulge in excess through sinful actions are bound to attract misfortune upon themselve.,proverbs,,,,
,Ndashaka akabati kamwe.,Je veux un armoire.,I want one cupboard.,vocabulary,,,,
,Ndashaka amahera,Je veux de l' argent.,I want money.,vocabulary,,,,
,Ndashaka ibabi rimwe.,Je veux une feuille.,I want one leaf.,vocabulary,,,,
,Ndashaka ibitaro bimwe.,Je veux un hôpital.,I want one hospital.,vocabulary,,,,
,Ndashaka icari imwe.,Je veux un niz.,I want one nest.,vocabulary,,,,
,Ndashaka icupa rimwe.,Je veux un bouteille.,I want one bottle.,vocabulary,,,,
,Ndashaka ifuro imwe.,Je veux un mousse.,I want one foam.,vocabulary,,,,
,Ndashaka igikere kimwe.,Je veux un grenouille.,I want one frog.,vocabulary,,,,
,Ndashaka igitangurirwa kimwe.,Je veux un arraignée.,I want one spider.,vocabulary,,,,
,Ndashaka igitunguru sumu kimwe.,Je veux un ail.,I want one garlic.,vocabulary,,,,
,Ndashaka ijuru rimwe.,Je veux un ciel.,I want one sky.,vocabulary,,,,
,Ndashaka ikawa,Je voudrais un café.,I would like a coffee.,general,,,,
,Ndashaka ikaye imwe.,Je veux un cahier.,I want one notebook.,vocabulary,,,,
,Ndashaka ikinogo kimwe.,Je veux un trou.,I want one hole.,vocabulary,,,,
,Ndashaka ikiraya kimwe.,Je veux un pomme de terre.,I want one potato.,vocabulary,,,,
,Ndashaka ikivuruvu kimwe.,Je veux un caméléon.,I want one chameleon.,vocabulary,,,,
,Ndashaka imbata imwe.,Je veux un canard.,I want one duck.,vocabulary,,,,
,Ndashaka imbwebwe imwe.,Je veux un renard.,I want one fox.,vocabulary,,,,
,Ndashaka imfyisi imwe.,Je veux un hyène.,I want one hyena.,vocabulary,,,,
,Ndashaka impene imwe.,Je veux un chèvre.,I want one goat.,vocabulary,,,,
,Ndashaka indimu imwe.,Je veux un citron.,I want one lemon.,vocabulary,,,,
,Ndashaka ingeregere imwe.,Je veux un gazelle.,I want one gazelle.,vocabulary,,,,
,Ndashaka inkende imwe.,Je veux un singe.,I want one monkey.,vocabulary,,,,
,Ndashaka intama imwe.,Je veux un mouton.,I want one sheep.,vocabulary,,,,
,Ndashaka inuma imwe.,Je veux un pigeon.,I want one pigeon.,vocabulary,,,,
,Ndashaka inzoka imwe.,Je veux un serpent.,I want one snake.,vocabulary,,,,
,Ndashaka ipiripiri imwe.,Je veux un piment.,I want one chilli.,vocabulary,,,,
,Ndashaka isake imwe.,Je veux un coq.,I want one rooster.,vocabulary,,,,
,Ndashaka ishu rimwe.,Je veux un chou.,I want one cabbage.,vocabulary,,,,
,Ndashaka itara rimwe.,Je veux un lampe.,I want one lamp.,vocabulary,,,,
,Ndashaka ivomo rimwe.,Je veux un robinet.,I want one tap.,vocabulary,,,,
,Ndashaka izuba rimwe.,Je veux un soleil.,I want one sun.,vocabulary,,,,
,Ndashaka kuvugana na Umunyeshure.,Je veux parler avec l'étudiant.,I want to speak with the student.,general,,,,
,Ndashaka ubushaza bumwe.,Je veux un petit pois.,I want one peas.,vocabulary,,,,
,Ndashaka umubu umwe.,Je veux un moustique.,I want one mosquito.,vocabulary,,,,
,Ndashaka umudari umwe.,Je veux un médaille.,I want one medal.,vocabulary,,,,
,Ndashaka umugeni.,Je veux un mariée.,I want one bride.,vocabulary,,,,
,Ndashaka umuhoro umwe.,Je veux un faucille.,I want one sickle.,vocabulary,,,,
,Ndashaka umupatiri umwe.,Je veux un prêtre.,I want one priest.,vocabulary,,,,
,Ndashaka umusigati umwe.,Je veux un canne à sucre.,I want one sugar cane.,vocabulary,,,,
,Ndashaka umutaka umwe.,Je veux un parapluie.,I want one umbrella.,vocabulary,,,,
,Ndashaka umutoto umwe.,Je veux un feuille de bananier.,I want one banana leaf.,vocabulary,,,,
,Ndashaka urugi rumwe.,Je veux un porte.,I want one door.,vocabulary,,,,
,Ndashaka ururimi rumwe.,Je veux un langue.,I want one tongue.,vocabulary,,,,
,Ndashashaye,Je suis excité,I am excited,emotions,,,,
,Ndashavuye,Je suis fâchée,I am angry,emotions,,,,
,Ndashigikiye cane y’uko Ikirundi gitezwa imbere,Je soutiens fortément le développement de l'Ikirundi,I strongly support the development of Ikirundi,general,,,,
,Ndatakaye.,Je suis perdu.,I'm lost.,general,,,,
,Ndatangaye,Je suis surprise,I am surprised,emotions,,,,
,Ndatekereje/Ndatekanye,Je suis calme,I am calm,emotions,,,,
,Ndavyibutse ubu,Je me souviens maintenant.,I remember now.,general,,,,
,Ndavyibutse ubunyene.,Je me souviens maintenant.,I remember now.,general,,,,
,Ndaza kugikosara ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,
,Ndemeje iki ciyumviro.,Je suis d'accord avec cette proposition.,I agree with this proposition.,general,,,,
,Ndi umugabo ní ko gupfá.,L'orgueil précède la chute.,Pride comes before a fall.,proverbs,,,,
,Ndi umunyeshure.,Je suis étudiant.,I am a student.,general,,,,
,Ndibuka ubufasha bwawe.,Je suis reconnaissant pour votre aide.,I am grateful for your help.,general,,,,
,Ndiga ikirundi.,J'apprends le kirundi.,I am learning Kirundi.,general,,,,
,Ndihereza akayi.,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,
,Ndiko Ndondera Inzu y'uburiro.,Je cherche un restaurant.,I am looking for a restaurant.,general,,,,
,Ndiko ndadigadiga,Je suis en train de chatouiller,I am tickling,action-verbs,,,,
,Ndiko ndafata imfunguro yomu gitondo,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,
,Ndiko ndafata imfungurwa zo mugitondo.,Je prends mon petit-déjeuner.,I have breakfast.,general,,,,
,Ndiko ndafukama,Je suis en train de m'agenouiller,I am kneeling,action-verbs,,,,
,Ndiko ndafungura,Je suis en train de manger,I am eating,action-verbs,,,,
,Ndiko ndahaguruka,Je suis en train de me tenir debout,I am standing,action-verbs,,,,
,Ndiko ndakina,Je suis en train de jouer,I am playing,action-verbs,,,,
,Ndiko ndakoma amashi,Je suis en train d'applaudir,I am clapping,action-verbs,,,,
,Ndiko ndakwega,Je suis en train de tirer,I am pulling,action-verbs,,,,
,Ndiko ndandika,Je suis en train d'écrire,I am writing,action-verbs,,,,
,Ndiko ndanywa,Je suis en train de boire,I am drinking,action-verbs,,,,
,"Ndiko ndaraba gusa, Urakoze","Je regarde juste, merci.","I'm just looking, thanks.",general,,,,
,"Ndiko ndaraba gusa, murakoze.","Je regarde juste, merci.","I'm just looking, thanks.",general,,,,
,Ndiko ndarira,Je suis en train de pleurer,I am crying,action-verbs,,,,
,Ndiko ndaririmba,Je suis en train de chanter,I am singing,action-verbs,,,,
,Ndiko ndarondera impfunguruzo zanje.,Je cherche mes clés.,I'm looking for my keys.,general,,,,
,Ndiko ndaryama,Je suis en train de dormir,I am sleeping,action-verbs,,,,
,Ndiko ndasimba,Je suis en train de sauter,I am jumping,action-verbs,,,,
,Ndiko ndasoma igitabu,Je suis en train de lire un livre,I am reading a book,action-verbs,,,,
,Ndiko ndasoma umuntu,Je suis en train d'embrasser quelqu'un,I am kissing someone,action-verbs,,,,
,Ndiko ndasukura uburaro bwanje,Je nettoie ma chambre.,I clean my room.,general,,,,
,Ndiko ndasunika,Je suis en train de pousser,I am pushing,action-verbs,,,,
,Ndiko ndatamba,Je suis en train de danser,I am dancing,action-verbs,,,,
,Ndiko ndatambuka,Je suis en train de marcher,I am walking,action-verbs,,,,
,Ndiko ndateka,Je suis en train de cuisiner,I am cooking,action-verbs,,,,
,Ndiko ndatwenga,Je suis en train de rire,I am laughing,action-verbs,,,,
,Ndiko ndavura,Je suis en train de ramper,I am crawling,action-verbs,,,,
,Ndiko ndayambira,Je suis en train de câliner,I am hugging,action-verbs,,,,
,Ndiko ndicara,Je suis en train de m'asseoir,I am sitting down,action-verbs,,,,
,Ndiko ndiga ikirundi,J'apprends le kirundi.,I am learning Kirundi.,general,,,,
,Ndiko ndihuta.,Je suis un peu stressé.,I'm a little stressed.,general,,,,
,"Ndiko ndirabira, murakoze.","Je regarde juste, merci.","I'm just looking, thanks.",general,,,,
,Ndiko ndiruka,Je suis en train de courir,I am running,action-verbs,,,,
,Ndiko ndiyugumura amenyo,Je me brosse les dents.,I brush my teeth.,general,,,,
,Ndiko ndoga,Je suis en train de prendre un bain,I am taking a bath,action-verbs,,,,
,Ndiko ndondera imfunguruzo zanje,Je cherche mes clés.,I'm looking for my keys.,general,,,,
,Ndiko ndondera uburiro .,Je cherche un restaurant.,I am looking for a restaurant.,general,,,,
,Ndiko ndubaka igorofa y'umusenyi.,Je construis un château de sable.,I'm building a sandcastle.,general,,,,
,Ndiko ndubaka igorofa yo mu musenyi.,Je construis un château de sable.,I'm building a sandcastle.,general,,,,
,Ndiko ndumviriza umuziki.,J'écoute de la musique.,I listen to music.,general,,,,
,Ndiko nsoma igitabu ciza.,Je lis un bon livre.,I'm reading a good book.,general,,,,
,Ndiko nubaka igorofa y'umusenyi.,Je construis un château de sable.,I'm building a sandcastle.,general,,,,
,Ndiko nywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,general,,,,
,Ndiko soma igitabo ciza.,Je lis un bon livre.,I'm reading a good book.,general,,,,
,Ndikonywa icayi gishushe.,Je bois du thé chaud.,I drink hot tea.,general,,,,
,Ndimé nshīmwé yagûye mw'īsemo.,Ceux qui agissent uniquement pour la reconnaissance trouvent leur parcours éphémère.,Those who act solely for recognition find their journey short-lived.,proverbs,,,,
,Ndânse ibēra umusazi.,"Refuser une simple demande est le chemin du fou, tandis que le sage tend la main.","To refuse a simple request is the path of the fool, while the wise extend a helping hand.",proverbs,,,,
,"Ndí mu kaguriro, nahūriyeyó n'ûwó twāhorá dúkūndana, ca ntāngura kugura ibīntu ndámubēsha kó ndíko ngura ivy’úbukwé.","Quand j'ai croisé mon ex au centre commercial, j'ai impulsivement commencé à acheter plein de choses, prétendant que je me préparais pour mon mariage. ","When I ran into my ex at the mall, I impulsively started buying a bunch of things, pretending I was preparing for my wedding.",jokes,,,,
,Ndīndé yarápfūye Mpūngé arakíra.,"Un homme courageux peut tomber, mais un homme prudent survit.","A brave man may fall, but a prudent man survives.",proverbs,,,,
,Ngendanwa yanje irihe?,Où est mon téléphone?,Where is my phone?,general,,,,
,Ngira nkosore ico ubunyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,
,Ngira nkosore ubu nyene.,Je vais corriger cela immédiatement.,I will correct this immediately.,general,,,,
,Ngiye gufata tagisi.,Je vais prendre un taxi.,I'm going to take a taxi.,general,,,,
,Ngiye guhindura akazi.,Je vais changer de travail.,I'm going to change jobs.,general,,,,
,Ngiye gusinzira.,Je vais me coucher.,I'm going to bed.,general,,,,
,Ngiye ku kazi.,Je vais au travail.,I'm going to work.,general,,,,
,Ngiye kubitaro,Je vais à l'hôpital.,I'm going to the hospital.,general,,,,
,Ngiye kuri kaminuza.,Je vais à l'université.,I'm going to university.,general,,,,
,Ngiye kuryama.,Je vais me coucher.,I'm going to bed.,general,,,,
,Ngiye kwoza ivyombo.,Je vais faire la vaisselle.,I'm going to do the dishes.,general,,,,
,Ngiye mubitaro,Je vais à l'hôpital.,I'm going to the hospital.,general,,,,
,Ngiye mukibanza c'ikarashishi.,Je vais à la salle de sport.,I go to the gym.,general,,,,
,Ngiye munyubakwa ya siporo.,Je vais à la salle de sport.,I go to the gym.,general,,,,
,Ngomba umuceri hakurya Ubugari.,Je préfère le riz au lieu des pâtes.,I prefer rice instead of pasta.,general,,,,
,Ngozi ni igisagara kiri mugihugu c'Uburundi,Ngozi est une ville du Burundi,Ngozi is a town in Burundi,general,,,,
,Ni amahitamwo agoye.,C'est un choix difficile.,It's a difficult choice.,general,,,,
,Ni gihe ki?,Quelle heure est-il?,What time is it?,general,,,,
,Ni hehe har'iguriro ry'imiti aha hafi?,Où est la pharmacie la plus proche?,Where is the nearest pharmacy?,general,,,,
,Ni iciyumviro ciza.,C'est une bonne idée.,It's a good idea.,general,,,,
,Ni ikosa.,C'est une erreur.,This is a mistake.,general,,,,
,Ni isaha zingahe ?,Quelle heure est-il?,What time is it?,general,,,,
,Ni itariki zingahe ?,Quelle est la date?,What is the date?,general,,,,
,Ni itsinzi rikomeye,C'est un grand succès.,It's a great success.,general,,,,
